                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6942,                 1.2575,                 1.3428,                0.66639,                0.44178,                0.48906,                0.24339,                 1.7731,                 1.3016,                 1.4556,               0.070133,              0.0033186,              0.0033186
                      1,                 1.6694,                 1.0912,                 1.3549,                0.55671,                0.38349,                0.40049,                0.17354,                   2.08,                 1.5734,                 1.6694,               0.039803,              0.0063226,              0.0063226
                      2,                 1.6464,                  1.059,                 1.3517,                0.71155,                0.45876,                0.52437,                0.26694,                 1.7489,                 1.1213,                 1.4485,              0.0091442,              0.0089967,              0.0089967
                      3,                 1.6312,                 1.0439,                  1.344,                  0.723,                0.43392,                0.53567,                0.27845,                 1.7275,                 1.1926,                 1.4417,               0.008515,               0.008515,               0.008515
                      4,                 1.5895,                 1.0079,                 1.3282,                0.73143,                0.51568,                0.58201,                0.30975,                 1.5792,                 1.0097,                 1.3459,               0.008515,               0.008515,               0.008515
                      5,                 1.5676,                0.98799,                 1.3201,                0.75122,                 0.4957,                0.57877,                0.30427,                 1.6246,                0.99469,                 1.3694,                0.00802,                0.00802,                0.00802
                      6,                 1.5629,                0.97538,                 1.3134,                0.77221,                0.52433,                 0.6096,                0.33586,                 1.5156,                0.95019,                 1.2993,               0.007525,               0.007525,               0.007525
                      7,                 1.5425,                0.95791,                 1.3028,                0.76703,                0.50341,                 0.6044,                0.32479,                 1.6061,                0.97864,                 1.3729,                0.00703,                0.00703,                0.00703
                      8,                 1.5322,                0.94981,                 1.2961,                0.78438,                0.54372,                0.62917,                 0.3483,                 1.4916,                0.87944,                  1.291,               0.006535,               0.006535,               0.006535
                      9,                 1.5168,                0.92961,                 1.2897,                0.77404,                0.54155,                0.62694,                0.34605,                 1.4857,                0.86956,                 1.2831,                0.00604,                0.00604,                0.00604
                     10,                 1.5041,                0.88709,                 1.2972,                0.77935,                 0.5329,                0.62847,                0.34887,                 1.4991,                0.89864,                 1.2869,               0.005545,               0.005545,               0.005545
                     11,                 1.4904,                0.87204,                 1.2869,                 0.7881,                0.52839,                0.62291,                  0.349,                 1.4964,                0.86598,                 1.2823,                0.00505,                0.00505,                0.00505
                     12,                 1.4761,                0.86071,                 1.2795,                0.79609,                0.55689,                0.64772,                0.36353,                 1.4533,                0.83287,                 1.2597,               0.004555,               0.004555,               0.004555
                     13,                 1.4629,                0.84295,                 1.2704,                0.79619,                0.56048,                 0.6501,                0.36684,                 1.4359,                0.80599,                  1.245,                0.00406,                0.00406,                0.00406
                     14,                 1.4492,                0.83104,                 1.2596,                0.79747,                0.56983,                0.65092,                0.36734,                 1.4304,                0.80446,                 1.2492,               0.003565,               0.003565,               0.003565
                     15,                 1.4372,                0.82177,                 1.2508,                0.80319,                0.56683,                 0.6519,                0.36992,                 1.4298,                0.80757,                 1.2429,                0.00307,                0.00307,                0.00307
                     16,                 1.4274,                0.81088,                 1.2449,                0.80639,                 0.5694,                0.66363,                0.38075,                 1.4014,                0.78579,                 1.2251,               0.002575,               0.002575,               0.002575
                     17,                 1.4095,                 0.7939,                 1.2327,                0.81194,                0.57959,                0.66977,                 0.3869,                 1.3933,                0.77301,                 1.2153,                0.00208,                0.00208,                0.00208
                     18,                  1.396,                0.78394,                 1.2257,                0.82055,                 0.5762,                0.67247,                0.39224,                  1.373,                0.75734,                 1.2093,               0.001585,               0.001585,               0.001585
                     19,                 1.3783,                0.76778,                 1.2131,                0.82268,                 0.5836,                0.67467,                0.39424,                 1.3583,                0.74335,                 1.1975,                0.00109,                0.00109,                0.00109
